MSOA,Gentrification,Top 1 Column Name,Top 1 Column Importance,Top 2 Column Name,Top 2 Column Importance,Top 3 Column Name,Top 3 Column Importance
E02000920,-52,Transport to Work: Passenger in a car or van,83,"Ethnic Group: Asian, Asian British or Asian Welsh",68,UK Identity: Welsh and British only identity,42
E02000921,89,Medical and care establishment:Registered Social Landlord or Housing Association,93,Marital Status: Never married and never registered a civil partnership,60,Religion: Buddhist,25
E02000922,-19,Industry: C: Manufacturing,88,Occupation: Skilled trades occupations,50,Age: 25 to 29,25
E02000923,-63,Economic Activity: Economically active: Employee: Full-time,95,Age: 25 to 29,73,Religion: Hindu,47
E02000924,95,"Occupation: Caring, leisure and other service occupations",89,Religion: Christian,62,Industry: G: Wholesale and retail trade; repair of motor vehicles and motorcycles,31
E02000925,-33,Position: Semi-routine occupations,92,"Industry: M: Professional, scientific and technical activities",50,UK Identity: Cornish only identity,40
E02000926,97,Marital Status: Divorced or civil partnership dissolved,96,Religion: Other religion,60,Age: 75 to 84,49
E02000927,-100,Single family household: All aged 66 years and over,95,One-person household: Aged 66 years and over,56,Ethnic Group: Other ethnic group,40
E02000928,-81,Age: 10 to 14,94,Position: Full-time students,58,"Occupation: Managers, directors and senior officials",30
E02000929,-83,"Transport to Work: Motorcycle, scooter or moped",79,Age: 15 to 19,58,Age: 10 to 14,45
E02000930,80,"Transport to Work: Underground, metro, light rail, tram",85,Total annual income (£),72,"Other household types: Other, including all full-time students and all aged 66 years and over",39
E02000931,15,"Marital Status: Separated, but still legally married or still legally in a civil partnership",85,Other household types: With dependent children,74,Single family household: Married or civil partnership couple: Dependent children,39
E02000932,-82,Marital Status: Widowed or surviving civil partnership partner,93,"Industry: M: Professional, scientific and technical activities",58,Full-time: 31 to 48 hours worked,37
E02000933,57,"Ethnic Group: Asian, Asian British or Asian Welsh",80,"Transport to Work: Bus, minibus or coach",58,UK Identity: Northern Irish and British only identity,25
E02000934,-88,Ethnic Group: White,96,Full-time: 49 or more hours worked,66,UK Identity: Scottish and British only identity,29
E02000935,-42,Occupation: Professional occupations,93,Economic Activity: Economically inactive: Looking after home or family,56,UK Identity: Welsh only identity,35
E02000936,58,Ownership: Lives rent free,85,Medical and care establishment: Local Authority: Care home or other home,58,Economic Activity: Economically active: Self-employed,31
E02000937,33,Health Status: Bad health,92,Health Status: Good health,61,Medical and care establishment: Other: Children's home (including secure units),39
E02000938,-59,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),84,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",57,Health Status: Bad health,42
E02000939,75,Medical and care establishment: Other: Care home without nursing,85,Economic Activity: Economically active: In employment,52,Transport to Work: Work mainly at or from home,36
E02000940,68,Not living in a couple,96,Full-time: 49 or more hours worked,64,Medical and care establishment: Local Authority: Care home or other home,49
E02000941,38,Ownership: Shared ownership,79,Age: 16 years and over,51,"Industry: R, S, T, U Other",38
E02000942,81,Marital Status: Never married and never registered a civil partnership,88,"Passport: Europe, Non-EU",54,Transport to Work: Train,28
E02000943,-92,Health Status: Very good health,96,UK Identity: Northern Irish only identity,69,"Industry: M: Professional, scientific and technical activities",48
E02000944,-28,Welsh: Can speak but cannot read or write Welsh,99,"Industry: E:  Water supply; Sewerage, Waste management and Remediation activities",50,Transport to Work: Driving a car or van,26
E02000945,64,"Industry: R, S, T, U Other",88,UK Identity: Scottish and British only identity,52,Welsh: Can speak but cannot read or write Welsh,28
E02000946,-92,"Household Spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement",75,Occupation: Professional occupations,57,Economic Activity: Economically inactive: Long-term sick or disabled,26
E02000947,81,Medical and care establishment: Local Authority: Care home or other home,87,"Industry: R, S, T, U Other",72,Religion: Buddhist,34
E02000948,78,UK Identity: Northern Irish only identity,83,Passport: Ireland,63,Medical and care establishment: NHS: Other hospital,40
E02000949,65,Medical and care establishment: Other: Children's home (including secure units),90,Age: 45 to 59,67,UK Identity: Irish and at least one UK identity,27
E02000950,-69,Religion: Christian,83,Not living in a couple,74,Living in a couple: Cohabiting,39
E02000951,87,Marital Status: Never married and never registered a civil partnership,98,Position: Never worked and long-term unemployed,69,Medical and care establishment: Local Authority: Care home or other home,26
E02000952,74,Position: Routine occupations,75,"Main Language: At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",59,"Industry: A: Agriculture, Forestry and fishing",32
E02000953,-88,Occupation: Sales and customer service occupations,98,UK Identity: Non-UK identity only,51,Religion: Other religion,40
E02000954,29,Economic Activity: Economically inactive: Student (including full-time students),83,Medical and care establishment:Registered Social Landlord or Housing Association,64,Medical and care establishment: Other: Care home with nursing,41
E02000955,-77,Ethnic Group: Other ethnic group,85,Marital Status: Widowed or surviving civil partnership partner,64,Medical and care establishment:Registered Social Landlord or Housing Association,43
E02000956,6,Not living in a couple,78,Passport: Central and South America,72,Age: 45 to 59,45
E02000957,-86,Industry: Q: Human health and social work activities,99,Industry: G: Wholesale and retail trade; repair of motor vehicles and motorcycles,59,Medical and care establishment: Other: Care home with nursing,28
E02000958,69,Religion: Jewish,83,Passport: Africa,71,Position: Lower supervisory and technical occupations,35
E02000959,22,Transport to Work: Driving a car or van,89,Occupation: Professional occupations,53,Health Status: Good health,38
E02000960,-56,UK Identity: Welsh and British only identity,84,Employment: Never worked,56,Transport to Work: Work mainly at or from home,25
E02000961,-10,"Industry: R, S, T, U Other",83,Unpaid Care: Provides no unpaid care,57,"Household Spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement",35
E02000962,98,Age: 45 to 59,98,UK Identity: Irish only identity,72,UK Identity: Northern Irish only identity,48
E02000963,-58,UK Identity: Non-UK identity only,88,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),53,Ownership: Shared ownership,39
E02000964,-39,Position: Small employers and own account workers,99,Ownership: Private rented: Private landlord or letting agency,51,Ownership: Private rented: Private landlord or letting agency,41
E02000965,87,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",96,Highest Level of Qualification: No qualifications,71,Age: 0 to 4,47
E02000966,-100,Religion: Muslim,98,Not living in a couple: Married or in a registered civil partnership,73,Single family household: Cohabiting couple family: With dependent children,46
E02000967,87,Ownership: Shared ownership,81,Economic Activity: Economically active: Employee: Part-time,63,Industry: K: Financial and insurance activities,46
E02000968,27,Passport: North America and the Caribbean,89,UK Identity: English only identity,59,One-person household: Other,31
E02000969,-91,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),78,Marital Status: Widowed or surviving civil partnership partner,71,Transport to Work: Taxi,44
E02000970,79,Passport: North America and the Caribbean,92,Single family household: Married or civil partnership couple: No children,59,Industry: F: Construction,34
E02000971,66,UK Identity: Other identity and at least one UK identity,95,Welsh: Other combination of skills in Welsh,63,UK Identity: Irish only identity,34
E02000972,-53,Residency: Lives in a communal establishment,92,"Ethnic Group: Asian, Asian British or Asian Welsh",68,Occupancy rating (rooms) of -1 or less,30
E02000973,42,Sex: Males,98,Age: 85 years and over,53,Not living in a couple: Widowed or surviving partner from a civil partnership,42
E02000974,-16,Highest Level of Qualification: Level 4 qualifications or above,86,Religion: Other religion,53,"Transport to Work: Motorcycle, scooter or moped",43
E02000975,-1,Occupation: Elementary occupations,77,Welsh: Can speak Welsh,61,Economic Activity: Economically active: Full-time student,44
E02000976,15,Ownership: Owned: Owns outright,92,Part-time: 15 hours or less worked,52,Health Status: Very good health,39
E02000977,-93,"Main Language: At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",75,"Industry: E:  Water supply; Sewerage, Waste management and Remediation activities",56,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",31
E02000978,61,UK Identity: Northern Irish and British only identity,88,Ethnic Group: White,60,UK Identity: Cornish and British only identity,43
E02000979,76,Position: Intermediate occupations,80,Single family household: Married or civil partnership couple: No children,52,Welsh: Can speak Welsh,28
E02000980,-27,Single family household: Married or civil partnership couple: No children,91,Household Spaces: Whole house or bungalow: Semi-detached,68,Marital Status: Divorced or civil partnership dissolved,30
E02000981,82,Full-time: 31 to 48 hours worked,95,Industry: L: Real estate activities,69,Age: 25 to 29,25
E02000982,-55,Ownership: Private rented: Private landlord or letting agency,83,Industry: J: Information and communication,58,"Industry: M: Professional, scientific and technical activities",29
E02000983,-78,Other establishments,89,Religion: Not answered,60,UK Identity: English and British only identity,48
E02000984,38,Households: Number of households,82,Industry: Q: Human health and social work activities,58,Part-time: 15 hours or less worked,35
E02000985,58,"Passport: Europe, EU",86,Not living in a couple: Widowed or surviving partner from a civil partnership,59,Other household types: With dependent children,36
E02000986,-8,UK Identity: Northern Irish and British only identity,84,Religion: Christian,51,"Occupation: Process, plant and machine operatives",25
E02000988,18,"Main Language: At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",94,Disabled under the Equality Act: Day-to-day activities limited a little,52,Industry: P: Education,45
E02000989,-97,Age: 10 to 14,91,UK Identity: Cornish only identity,61,Disabled under the Equality Act: Day-to-day activities limited a little,47
E02000991,-75,"Other household types: Other, including all full-time students and all aged 66 years and over",91,Residency: Average number of bedrooms per household,61,Ownership: Owned: Owns with a mortgage or loan,41
E02000993,33,Occupancy rating (rooms) of -1 or less,77,Welsh: Other combination of skills in Welsh,53,Economic Activity: Economically inactive: Long-term sick or disabled,44
E02000994,56,Religion: Sikh,80,Economic Activity: Economically active: Self-employed,57,Single family household: Married or civil partnership couple: All children non-dependent,42
E02000995,45,Medical and care establishment: Other: Children's home (including secure units),79,Medical and care establishment: NHS: Other hospital,61,Economic Activity: Economically inactive: Other,38
E02000996,-100,Not living in a couple: Married or in a registered civil partnership,95,Age: 30 to 44,57,"Passport: Europe, EU",34
E02000998,-5,Medical and care establishment: Other: Children's home (including secure units),85,"Transport to Work: Bus, minibus or coach",74,UK Identity: English only identity,36
E02000999,-56,Passport: Middle East and Asia,92,Age: 0 to 4,57,Health Status: Bad health,27
E02001000,21,Other household types: With dependent children,80,Medical and care establishment: NHS: General hospital,55,Religion: Sikh,33
E02001001,14,"Industry: D: Electricity, gas, steam and air conditioning supply",85,Industry: I: Accommodation and food service activities,58,Transport to Work: Train,35
E02001002,98,Religion: Buddhist,97,Age: 85 years and over,60,Single family household: Cohabiting couple family: No children,25
E02001003,-56,UK Identity: Welsh only identity,96,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),56,Ownership: Social rented: Other social rented,48
E02001004,-95,Industry: G: Wholesale and retail trade; repair of motor vehicles and motorcycles,96,Passport: Middle East and Asia,52,Single family household,36
E02001005,-90,"Household Spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement",99,Industry: L: Real estate activities,61,Single family household: All aged 66 years and over,48
E02001006,90,Industry: L: Real estate activities,85,Age: 20 to 24,59,Household Spaces: Whole house or bungalow: Semi-detached,41
E02001008,50,"Occupation: Managers, directors and senior officials",93,UK Identity: Scottish and British only identity,58,Medical and care establishment: Local Authority: Children's home (including secure units),28
E02001009,0,Religion: Jewish,96,Age: 75 to 84,60,UK Identity: British only identity,33
E02001022,99,Living in a couple,94,"Passport: Europe, EU",70,"Household Spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",37
E02001023,-96,Welsh: Can speak and read but cannot write Welsh,99,Occupation: Associate professional and technical occupations,74,Health Status: Good health,49
E02001024,84,UK Identity: British only identity,97,Health Status: Very bad health,71,Passport: Ireland,36
E02001025,-34,Highest Level of Qualification: Level 2 qualifications,77,Transport to Work: Bicycle,71,Passport: Ireland,43
E02001026,-61,Marital Status: Divorced or civil partnership dissolved,85,Marital Status: Married or in a registered civil partnership,68,Age: 16 years and over,42
E02001027,87,Economic Activity: Economically inactive: Other,99,"Industry: D: Electricity, gas, steam and air conditioning supply",65,Single family household: Married or civil partnership couple: Dependent children,27
E02001028,-57,Industry: B: Mining and quarrying,85,Living in a couple: Married or in a civil partnership,55,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",34
E02001029,30,UK Identity: Scottish and British only identity,83,Marital Status: Widowed or surviving civil partnership partner,72,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,48
E02001031,90,UK Identity: Northern Irish only identity,84,Economic Activity: Economically active: Unemployed,70,"Transport to Work: Bus, minibus or coach",42
E02001035,-36,Position: Lower supervisory and technical occupations,88,"Passport: Europe, Non-EU",58,Sex: Females,32
E02001041,-37,Health Status: Bad health,95,Economic Activity: Economically active: Unemployed,62,Living in a couple: Married or in a civil partnership,25
E02001042,-26,Ownership: Private rented: Other private rented,88,Disabled under the Equality Act: Day-to-day activities limited a little,66,Passport: Africa,28
E02001043,-21,Household Spaces: Whole house or bungalow: Semi-detached,78,Ethnic Group: Other ethnic group,51,Single family household: Lone parent family: With dependent children,35
E02001044,95,UK Identity: Irish and at least one UK identity,87,Religion: Jewish,54,Occupation: Elementary occupations,26
E02001045,35,Passport: Antarctica and Oceania,99,Welsh: Can speak Welsh,55,Unpaid Care: Provides no unpaid care,35
E02001046,-70,Medical and care establishment:Registered Social Landlord or Housing Association,81,"Household Spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement",66,Ownership: Private rented: Private landlord or letting agency,26
E02001047,-40,Transport to Work: Driving a car or van,78,Industry: I: Accommodation and food service activities,57,Single family household: Married or civil partnership couple: All children non-dependent,33
E02001048,47,Ownership: Lives rent free,77,Median house price,55,Economic Activity: Economically active: Unemployed,29
E02001049,52,Single family household: Cohabiting couple family: With dependent children,89,Not living in a couple: Widowed or surviving partner from a civil partnership,68,UK Identity: Non-UK identity only,29
E02001050,50,"Marital Status: Separated, but still legally married or still legally in a civil partnership",82,Highest Level of Qualification: Level 2 qualifications,62,Ethnic Group: White,32
E02001051,-42,Marital Status: Never married and never registered a civil partnership,78,One-person household: Aged 66 years and over,68,Single family household,43
E02001052,3,Age: 0 to 4,80,Vehicles: 1 car or van in household,63,"Position: Lower managerial, administrative and professional occupations",29
E02001053,-55,Ownership: Lives rent free,84,Living in a couple: Married or in a civil partnership,67,Full-time: 31 to 48 hours worked,42
E02001055,41,Position: Full-time students,96,"Position: Higher managerial, administrative and professional occupations",66,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",47
E02001056,-80,Single family household: Married or civil partnership couple: All children non-dependent,81,Economic Activity: Economically inactive: Retired,56,Disabled under the Equality Act: Day-to-day activities limited a little,49
E02001057,60,Age: 65 to 74,94,Welsh: No skills in Welsh,65,Industry: K: Financial and insurance activities,38
E02001059,32,Ethnic Group: White,77,UK Identity: English and British only identity,60,Position: Small employers and own account workers,33
E02001061,-49,Vehicles: 3 or more cars or vans in household,92,Single family household: Cohabiting couple family: With dependent children,69,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",26
E02001062,40,Economic Activity: Economically inactive: Long-term sick or disabled,87,"Industry: D: Electricity, gas, steam and air conditioning supply",69,Not living in a couple,36
E02001063,-4,Vehicles: 2 cars or vans in household,82,Not living in a couple: Single (never married and never registered a civil partnership),68,Industry: O: Public administration and defence; compulsory social security,27
E02001064,-78,UK Identity: Cornish only identity,84,"Occupation: Managers, directors and senior officials",51,"Industry: A: Agriculture, Forestry and fishing",28
E02001065,94,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),97,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",52,"Industry: M: Professional, scientific and technical activities",29
E02001066,-64,UK Identity: Irish and at least one UK identity,92,"Industry: M: Professional, scientific and technical activities",66,Single family household: Lone parent family: All children non-dependent,44
E02001067,-54,Living in a couple: Cohabiting,92,Ownership: Private rented: Other private rented,62,Economic Activity: Economically inactive: Student (including full-time students),28
E02001068,99,Position: Small employers and own account workers,88,Passport: Central and South America,62,Religion: Hindu,44
E02001069,15,Age: 25 to 29,81,Welsh: Can speak but cannot read or write Welsh,63,Economic Activity: Economically active: In employment,25
E02001070,92,Age: 25 to 29,87,Industry: O: Public administration and defence; compulsory social security,65,Medical and care establishment:Other,44
E02001071,-32,Age: 65 to 74,75,"Transport to Work: Motorcycle, scooter or moped",69,Ownership: Lives rent free,35
E02001072,0,Economic Activity: Economically active: Full-time student,85,Highest Level of Qualification: Other qualifications,59,UK Identity: Cornish only identity,43
E02001073,13,Welsh: Can speak Welsh,89,Economic Activity: Economically active: Self-employed,53,Position: Semi-routine occupations,47
E02001074,-31,Highest Level of Qualification: Level 4 qualifications or above,82,Economic Activity: Economically active: Unemployed,58,Industry: F: Construction,30
E02001075,34,Passport: UK,78,UK Identity: Scottish only identity,71,Living in a couple: Married or in a civil partnership,42
E02001076,-92,Passport: British Overseas Territories,85,Median house price,60,UK Identity: Scottish and British only identity,49
E02001077,51,Passport: Africa,90,Industry: B: Mining and quarrying,70,Economic Activity: Economically active: Employee: Part-time,43
E02001078,24,Total annual income (£),97,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",59,Religion: Buddhist,36
E02001079,15,UK Identity: Welsh only identity,86,Economic Activity: Economically inactive,52,Unpaid Care: Provides 1 to 19 hours unpaid care a week,30
E02001080,82,UK Identity: Northern Irish only identity,95,Religion: Muslim,50,Industry: N: Administrative and support service activities,34
E02001081,71,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),79,Welsh: Can speak but cannot read or write Welsh,69,Passport: North America and the Caribbean,29
E02001082,-33,UK Identity: Scottish and British only identity,83,Economic Activity: Economically active: Employee: Full-time,56,Household Spaces: Caravan or other mobile or temporary structure,25
E02001083,-43,Age: 10 to 14,84,Ownership: Private rented: Private landlord or letting agency,66,Ownership: Lives rent free,36
E02001084,8,Position: Never worked and long-term unemployed,82,Highest Level of Qualification: Other qualifications,59,Transport to Work: Bicycle,37
E02001085,-100,Age: 20 to 24,99,Age: 65 to 74,51,Residency: Lives in a communal establishment,36
E02001086,-80,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),78,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",72,Industry: C: Manufacturing,38
E02001087,90,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",89,Medical and care establishment: Local Authority: Children's home (including secure units),57,Transport to Work: On foot,46
E02001089,9,Age: 85 years and over,76,Single family household: Married or civil partnership couple: All children non-dependent,50,Age: 20 to 24,38
E02001104,-97,Ownership: Owned: Owns outright,76,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",62,Sex: Males,27
E02001108,23,Unpaid Care: Provides 50 or more hours unpaid care a week,83,"Industry: M: Professional, scientific and technical activities",69,Medical and care establishment:Other,46
E02001109,57,Age: 16 years and over,75,UK Identity: Welsh and British only identity,54,Welsh: Other combination of skills in Welsh,33
E02001111,-66,Occupation: Professional occupations,86,Occupation: Administrative and secretarial occupations,60,Part-time: 15 hours or less worked,46
E02001113,26,Households: Number of households,81,Health Status: Good health,74,Position: Small employers and own account workers,44
E02001115,-35,Highest Level of Qualification: Level 4 qualifications or above,98,Single family household: Married or civil partnership couple: All children non-dependent,68,Ownership: Lives rent free,34
E02001116,-25,Ethnic Group: Mixed or Multiple ethnic groups,89,Transport to Work: On foot,57,Religion: Other religion,49
E02001118,95,Disabled under the Equality Act: Day-to-day activities limited a little,97,UK Identity: Irish and at least one UK identity,63,Ownership: Shared ownership,37
E02001119,-30,Economic Activity: Economically inactive: Retired,77,Ethnic Group: Mixed or Multiple ethnic groups,71,"Industry: D: Electricity, gas, steam and air conditioning supply",46
E02001121,21,Religion: Jewish,85,Single family household,74,Industry: Q: Human health and social work activities,45
E02001123,-21,UK Identity: English only identity,86,Religion: Hindu,55,Highest Level of Qualification: Level 3 qualifications,35
E02001126,-74,Economic Activity: Economically active: Employee: Full-time,91,Medical and care establishment:Registered Social Landlord or Housing Association,56,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",36
E02001127,-22,Passport: Middle East and Asia,84,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,70,Medical and care establishment: NHS: General hospital,43
E02001135,56,Occupation: Skilled trades occupations,94,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",55,Welsh: No skills in Welsh,32
E02001136,-60,Passport: Middle East and Asia,75,Marital Status: Married or in a registered civil partnership,72,Occupancy rating (rooms) of -1 or less,28
E02001137,-84,Passport: UK,93,Total annual income (£),62,Household Spaces: Whole house or bungalow: Detached,44
E02001138,89,"Main Language: At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",81,UK Identity: Other identity and at least one UK identity,57,Age: 20 to 24,48
E02001139,-20,Ownership: Private rented: Other private rented,99,Highest Level of Qualification: Level 4 qualifications or above,74,Highest Level of Qualification: Level 3 qualifications,45
E02001140,-18,Transport to Work: Passenger in a car or van,84,Economic Activity: Economically active: In employment,52,Ownership: Owned: Owns outright,34
E02001141,-84,"Household Spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",87,Industry: O: Public administration and defence; compulsory social security,72,Ethnic Group: Other ethnic group,28
E02001142,-5,Religion: Other religion,85,Single family household: Cohabiting couple family: No children,65,Unpaid Care: Provides no unpaid care,30
E02001143,-16,Economic Activity: Economically inactive: Long-term sick or disabled,83,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",53,"Position: Lower managerial, administrative and professional occupations",41
E02001146,39,Passport: No passport,89,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",74,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),32
E02001147,-12,Sex: Males,93,"Occupation: Process, plant and machine operatives",71,Passport: British Overseas Territories,28
E02001148,-35,"Position: Higher managerial, administrative and professional occupations",82,Passport: Africa,74,Ethnic Group: Mixed or Multiple ethnic groups,44
E02001166,-60,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,96,Welsh: Can speak and read but cannot write Welsh,50,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",47
E02001167,16,Disabled under the Equality Act: Day-to-day activities limited a little,90,Ownership: Social rented: Rents from council or Local Authority,73,Passport: British Overseas Territories,47
E02001172,100,Highest Level of Qualification: Level 4 qualifications or above,95,Living in a couple: Married or in a civil partnership,57,Part-time: 16 to 30 hours worked,28
E02001173,-47,Religion: Hindu,82,Total annual income (£),66,Economic Activity: Economically active: Full-time student,32
E02001174,-39,Religion: Christian,81,UK Identity: Northern Irish and British only identity,69,Welsh: Can speak but cannot read or write Welsh,37
E02001177,-83,Sex: Females,85,Ownership: Lives rent free,73,Welsh: Can speak but cannot read or write Welsh,28
E02001178,-86,Medical and care establishment: Other: Care home with nursing,77,Passport: Africa,51,Occupation: Professional occupations,40
E02001179,99,UK Identity: Cornish and British only identity,88,Single family household: All aged 66 years and over,53,Economic Activity: Economically active: Unemployed,41
E02001180,47,"Transport to Work: Bus, minibus or coach",89,Unpaid Care: Provides 1 to 19 hours unpaid care a week,51,Part-time: 16 to 30 hours worked,28
E02001184,-61,Single family household: All aged 66 years and over,75,Ownership: Private rented: Other private rented,66,Economic Activity: Economically active: Self-employed,40
E02001187,-95,Economic Activity: Economically active,78,Household Spaces: Whole house or bungalow: Detached,74,"Household Spaces: Flat, maisonette or apartment: In a commercial building",44
E02001188,-49,UK Identity: Irish and at least one UK identity,78,Economic Activity: Economically active: In employment,68,Highest Level of Qualification: Other qualifications,42
E02001189,-70,Welsh: Can speak but cannot read or write Welsh,78,Ownership: Lives rent free,67,Ownership: Owned: Owns outright,36
E02001192,-16,Highest Level of Qualification: Level 2 qualifications,83,"Transport to Work: Underground, metro, light rail, tram",74,"Passport: Europe, EU",45
E02001193,-21,Ethnic Group: Other ethnic group,91,Religion: Hindu,64,Median house price,40
E02001194,23,Economic Activity: Economically active,89,Economic Activity: Economically active: Full-time student,65,UK Identity: Welsh and British only identity,27
E02001197,-73,Occupation: Professional occupations,81,Position: Never worked and long-term unemployed,64,Ownership: Owned: Owns outright,26
E02001199,4,Economic Activity: Economically active: Employee: Full-time,88,Transport to Work: Driving a car or van,60,"Position: Lower managerial, administrative and professional occupations",37
E02001200,74,Highest Level of Qualification: Apprenticeship,94,Marital Status: Married or in a registered civil partnership,53,"Occupation: Managers, directors and senior officials",36
E02001201,55,Position: Intermediate occupations,89,Health Status: Good health,60,Position: Small employers and own account workers,40
E02001202,-58,Other establishments,83,Age: 45 to 59,66,Full-time: 49 or more hours worked,25
E02001204,-10,Medical and care establishment: Other: Children's home (including secure units),92,"Industry: M: Professional, scientific and technical activities",53,"Position: Higher managerial, administrative and professional occupations",40
E02001205,-34,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",92,Health Status: Very good health,62,Transport to Work: Driving a car or van,44
E02001207,-8,Vehicles: 2 cars or vans in household,82,Age: 0 to 4,69,Health Status: Good health,26
E02001209,-44,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),82,UK Identity: Northern Irish only identity,55,Religion: Jewish,39
E02001210,17,Households: Number of households,82,Age: 0 to 4,69,Sex: Males,49
E02001212,-66,Welsh: Can speak but cannot read or write Welsh,83,Age: 15 to 19,71,Unpaid Care: Provides no unpaid care,37
E02001213,-47,Residency: Average number of bedrooms per household,79,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",54,Industry: K: Financial and insurance activities,31
E02001242,78,Passport: Africa,99,Passport: British Overseas Territories,66,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),31
E02001247,92,Not living in a couple,92,Highest Level of Qualification: Level 1 and entry level qualifications,58,"Industry: M: Professional, scientific and technical activities",40
E02001259,14,Ethnic Group: White,98,UK Identity: Northern Irish only identity,73,Age: 65 to 74,49
E02001262,26,Age: 15 to 19,81,Industry: K: Financial and insurance activities,71,Religion: Not answered,42
E02001291,81,Medical and care establishment: Other: Care home without nursing,79,UK Identity: Irish and at least one UK identity,74,Economic Activity: Economically inactive: Retired,30
E02001292,16,Highest Level of Qualification: Apprenticeship,79,Welsh: Can speak Welsh,60,UK Identity: Non-UK identity only,34
E02001293,-1,Age: 60 to 64,83,One-person household: Other,65,Unpaid Care: Provides no unpaid care,42
E02001294,-20,"Industry: D: Electricity, gas, steam and air conditioning supply",82,Occupation: Elementary occupations,64,"Occupation: Caring, leisure and other service occupations",45
E02001295,-59,Sex: Females,90,Economic Activity: Economically active,66,Age: 30 to 44,40
E02001296,-50,UK Identity: Cornish only identity,98,"Position: Higher managerial, administrative and professional occupations",55,UK Identity: Irish only identity,29
E02001297,8,Transport to Work: Driving a car or van,91,Occupation: Administrative and secretarial occupations,74,Religion: Buddhist,41
E02001300,-22,Position: Lower supervisory and technical occupations,79,Transport to Work: Bicycle,63,Median house price,38
E02001301,65,Religion: No religion,96,Health Status: Good health,64,UK Identity: Welsh only identity,31
E02001306,-46,Age: 10 to 14,75,Industry: G: Wholesale and retail trade; repair of motor vehicles and motorcycles,69,Religion: Not answered,34
E02001307,7,UK Identity: Northern Irish only identity,88,Highest Level of Qualification: Level 4 qualifications or above,74,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,33
E02001332,63,Passport: North America and the Caribbean,97,"Transport to Work: Underground, metro, light rail, tram",63,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),32
E02001334,-50,"Other household types: Other, including all full-time students and all aged 66 years and over",93,Industry: B: Mining and quarrying,72,Marital Status: Married or in a registered civil partnership,28
E02001336,10,UK Identity: Non-UK identity only,98,Occupation: Elementary occupations,58,"Other household types: Other, including all full-time students and all aged 66 years and over",41
E02001337,20,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),87,Passport: Middle East and Asia,64,Position: Never worked and long-term unemployed,41
E02001338,100,Single family household: Married or civil partnership couple: Dependent children,79,Ownership: Owned: Owns with a mortgage or loan,65,Religion: No religion,40
E02001340,-46,UK Identity: Scottish only identity,75,Medical and care establishment: Other: Care home with nursing,62,Industry: B: Mining and quarrying,25
E02001341,-53,Passport: Antarctica and Oceania,88,Highest Level of Qualification: Level 4 qualifications or above,73,Single family household,49
